SecuCode,InfoPublDate,tag
000572,2004-05-01,交通运输
000572,2005-05-01,汽车
000573,2003-01-01,房地产
000576,2003-01-01,轻工制造
000576,2018-06-07,食品饮料
000578,2003-01-01,通信
000578,2007-05-01,基础化工
000581,2003-01-01,汽车
000582,2003-01-01,交通运输
000584,2003-01-01,基础化工
000584,2018-06-07,机械
000585,2003-01-01,电力设备
000586,2003-01-01,通信
000587,2003-01-01,农林牧渔
000587,2012-05-02,有色金属
000587,2013-05-03,商贸零售
000587,2014-04-01,石油石化
000587,2015-02-01,有色金属
000587,2017-01-24,商贸零售
000589,2003-01-01,汽车
000590,2003-01-01,医药
000591,2003-01-01,医药
000591,2017-03-06,电力及公用事业
000592,2003-01-01,房地产
000592,2008-05-01,农林牧渔
000593,2003-01-01,电力及公用事业
000593,2012-05-02,商贸零售
000593,2017-01-24,电力及公用事业
000594,2003-01-01,有色金属
000594,2007-05-01,房地产
000594,2012-10-10,交通运输
000595,2003-01-01,机械
000596,2003-01-01,食品饮料
000597,2003-01-01,医药
000598,2003-01-01,电力及公用事业
000598,2018-02-27,电力及公用事业
000599,2003-01-01,汽车
000600,2003-01-01,电力及公用事业
000601,2003-01-01,电力及公用事业
000602,2003-01-01,电力及公用事业
000603,2003-01-01,医药
000603,2004-11-01,医药
000603,2009-05-01,医药
000603,2012-05-02,有色金属
000605,2003-01-01,医药
000605,2014-10-09,电力及公用事业
000605,2016-03-16,电力及公用事业
000605,2018-02-27,电力及公用事业
000606,2003-01-01,医药
000606,2010-09-09,医药
000606,2018-02-27,传媒
000606,2019-07-22,计算机
000607,2003-01-01,机械
000607,2005-11-01,商贸零售
000607,2007-05-01,医药
000607,2010-09-09,电力设备
000607,2015-05-01,传媒
000607,2018-02-27,传媒
000608,2003-01-01,房地产
000609,2003-01-01,石油石化
000609,2006-05-01,房地产
000609,2018-02-27,房地产
000610,2003-01-01,餐饮旅游
000610,2017-08-03,餐饮旅游
000610,2018-02-27,餐饮旅游
000611,2003-01-01,机械
000611,2012-05-02,纺织服装
000611,2015-05-01,综合
000611,2018-02-27,纺织服装
000612,2003-01-01,有色金属
000613,2003-01-01,餐饮旅游
000615,2003-01-01,通信
000615,2005-11-01,基础化工
000615,2018-02-27,房地产
000616,2003-01-01,房地产
000617,2003-01-01,机械
000617,2017-02-27,非银行金融
000618,2003-01-01,石油石化
000619,2003-01-01,建材
000620,2003-01-01,石油石化
000620,2012-05-02,房地产
000622,2003-01-01,汽车
000622,2019-07-29,综合
000623,2003-01-01,医药
000623,2017-10-17,非银行金融
000625,2003-01-01,汽车
000626,2003-01-01,农林牧渔
000626,2012-05-02,基础化工
000626,2014-05-05,商贸零售
000627,2003-01-01,基础化工
000627,2018-02-27,非银行金融
000628,2003-01-01,综合
000628,2012-10-10,房地产
000628,2018-02-27,建筑
000629,2003-01-01,钢铁
000630,2003-01-01,有色金属
000631,2003-01-01,汽车
000631,2006-05-01,通信
000631,2009-05-01,房地产
000632,2003-01-01,商贸零售
000633,2003-01-01,机械
000633,2009-05-01,综合
000633,2012-10-10,有色金属
000635,2003-01-01,基础化工
000636,2003-01-01,电子元器件
000637,2003-01-01,石油石化
000638,2003-01-01,钢铁
000638,2009-05-01,房地产
000638,2018-06-07,综合
000639,2003-01-01,农林牧渔
000639,2017-03-06,食品饮料
000650,2003-01-01,医药
000651,2003-01-01,家电
000652,2003-01-01,农林牧渔
000652,2006-05-01,综合
000655,2003-01-01,建材
000655,2006-11-01,钢铁
000656,2003-01-01,钢铁
000656,2006-05-01,综合
000656,2008-11-01,房地产
000657,2003-01-01,有色金属
000659,2003-01-01,轻工制造
000661,2003-01-01,医药
000662,2003-01-01,基础化工
000662,2018-02-27,计算机
000663,2003-01-01,农林牧渔
000665,2003-01-01,传媒
000665,2012-05-02,汽车
000665,2013-05-03,传媒
000666,2003-01-01,机械
000666,2014-05-05,综合
000666,2014-10-09,机械
000666,2015-05-01,非银行金融
000667,2003-01-01,房地产
000668,2003-01-01,石油石化
000668,2009-05-01,房地产
000669,2003-01-01,医药
000669,2008-05-01,综合
000669,2013-05-03,电力及公用事业
000670,2003-01-01,石油石化
000670,2008-05-01,房地产
000670,2014-10-09,电子元器件
000671,2003-01-01,商贸零售
000671,2010-05-01,房地产
000672,2003-01-01,综合
000672,2014-05-05,建材
000673,2003-01-01,建材
000673,2012-05-02,传媒
000676,2003-01-01,机械
000676,2016-04-25,电力设备
000676,2018-02-27,传媒
000677,2003-01-01,基础化工
000678,2003-01-01,机械
000678,2018-02-27,汽车
000679,2003-01-01,商贸零售
000679,2010-05-01,房地产
000679,2012-10-10,商贸零售
000679,2018-02-27,商贸零售
000680,2003-01-01,机械
000681,2003-01-01,纺织服装
000681,2008-05-01,房地产
000681,2014-05-05,计算机
000681,2017-02-07,传媒
000682,2003-01-01,电力设备
000683,2003-01-01,基础化工
000683,2008-05-01,基础化工
000685,2003-01-01,电力及公用事业
000686,2003-01-01,石油石化
000686,2008-05-01,非银行金融
000687,2003-01-01,基础化工
000687,2018-05-03,国防军工
000688,2003-01-01,计算机
000688,2013-05-02,有色金属
000690,2003-01-01,建筑
000690,2005-05-01,电力及公用事业
000691,2003-01-01,石油石化
000691,2011-05-05,房地产
000692,2003-01-01,电力及公用事业
000693,2003-01-01,综合
000693,2014-05-05,有色金属
000695,2003-01-01,基础化工
000695,2004-05-01,电力及公用事业
000697,2003-01-01,电子元器件
000697,2012-10-10,有色金属
000697,2018-06-07,国防军工
000698,2003-01-01,石油石化
000700,2003-01-01,汽车
000701,2003-01-01,电子元器件
000702,2003-01-01,农林牧渔
000703,2003-01-01,电子元器件
000703,2004-05-01,轻工制造
000703,2006-05-01,建材
000703,2012-10-10,石油石化
000705,2003-01-01,医药
000707,2003-01-01,基础化工
000708,2003-01-01,钢铁
000709,2003-01-01,钢铁
000710,2003-01-01,汽车
000710,2019-07-22,医药
000711,2003-01-01,房地产
000711,2018-02-27,电力及公用事业
000712,2003-01-01,房地产
000712,2004-05-01,电力及公用事业
000712,2014-10-09,非银行金融
000713,2004-05-01,纺织服装
000713,2008-05-01,农林牧渔
000715,2003-01-01,商贸零售
000716,2003-01-01,房地产
000716,2005-05-01,食品饮料
000717,2003-01-01,钢铁
000718,2003-01-01,轻工制造
000718,2006-05-01,房地产
000719,2003-01-01,综合
000719,2012-03-01,传媒
000720,2003-01-01,电力及公用事业
000721,2003-01-01,餐饮旅游
000722,2003-01-01,电力设备
000722,2004-11-01,商贸零售
000722,2012-10-10,电力及公用事业
000723,2003-01-01,电力设备
000723,2007-05-01,煤炭
000725,2003-01-01,电子元器件
000726,2003-01-01,纺织服装
000727,2003-01-01,电子元器件
000728,2003-01-01,非银行金融
000729,2003-01-01,食品饮料
000731,2003-01-01,基础化工
000731,2017-03-06,石油石化
000731,2018-02-27,基础化工
000732,2003-01-01,综合
000732,2012-08-31,房地产
000733,2003-01-01,电子元器件
000735,2003-01-01,农林牧渔
000736,2003-01-01,通信
000736,2007-05-01,房地产
000737,2003-01-01,基础化工
000738,2003-01-01,汽车
000738,2012-10-10,国防军工
000739,2003-01-01,医药
000748,2003-01-01,计算机
000748,2006-11-01,计算机
000750,2003-01-01,医药
000750,2011-08-04,非银行金融
000751,2003-01-01,有色金属
000752,2003-01-01,食品饮料
000753,2003-01-01,汽车
000753,2019-07-29,综合
000755,2003-01-01,基础化工
000755,2019-07-22,交通运输
000756,2003-01-01,医药
000757,2003-01-01,汽车
000757,2010-05-01,综合
000757,2011-05-05,机械
000757,2016-04-25,汽车
000758,2003-01-01,有色金属
000759,2003-01-01,商贸零售
000760,2003-01-01,汽车
000760,2019-07-29,机械
000761,2003-01-01,钢铁
000762,2003-01-01,有色金属
000763,2003-01-01,石油石化
000766,2003-01-01,医药
000767,2003-01-01,电力及公用事业
000768,2003-01-01,国防军工
000776,2003-01-01,交通运输
000776,2010-05-01,非银行金融
000777,2003-01-01,电力设备
000777,2012-05-02,机械
000778,2003-01-01,钢铁
000779,2003-01-01,纺织服装
000779,2016-04-06,电子元器件
000779,2018-02-27,纺织服装
000780,2003-01-01,食品饮料
000780,2007-05-01,煤炭
000780,2013-04-01,煤炭
000782,2003-01-01,基础化工
000782,2012-10-10,石油石化
000782,2018-02-27,基础化工
000783,2003-01-01,非银行金融
000785,2003-01-01,商贸零售
000786,2003-01-01,建材
000787,2003-01-01,综合
000788,2003-01-01,医药
000789,2003-01-01,建材
000790,2003-01-01,钢铁
000790,2010-05-01,医药
000790,2018-02-27,医药
000791,2003-01-01,基础化工
000791,2013-05-03,电力及公用事业
000792,2003-01-01,基础化工
000793,2003-01-01,商贸零售
000793,2007-05-01,传媒
000795,2005-11-01,电子元器件
000795,2006-11-01,有色金属
000795,2012-10-10,建材
000796,2003-01-01,餐饮旅游
000796,2012-12-31,食品饮料
000796,2013-05-03,餐饮旅游
000796,2014-07-01,食品饮料
000796,2015-06-01,餐饮旅游
000796,2017-08-03,餐饮旅游
000797,2003-01-01,房地产
000798,2003-01-01,农林牧渔
000799,2003-01-01,食品饮料
000800,2003-01-01,汽车
000801,2003-01-01,电子元器件
000801,2014-08-01,国防军工
000801,2018-02-27,家电
000802,2003-01-01,餐饮旅游
000802,2005-05-01,餐饮旅游
000802,2013-01-04,餐饮旅游
000802,2015-05-01,餐饮旅游
000802,2015-10-26,传媒
000802,2018-02-27,传媒
000803,2003-01-01,纺织服装
000803,2005-05-01,汽车
000803,2011-05-05,房地产
000803,2012-10-10,纺织服装
000803,2014-08-01,综合
000805,2003-01-01,综合
000806,2003-01-01,电力设备
000807,2003-01-01,有色金属
000809,2003-01-01,纺织服装
000809,2004-05-01,医药
000809,2012-05-02,房地产
000810,2003-01-01,纺织服装
000810,2013-06-02,基础化工
000810,2015-05-01,家电
000811,2003-01-01,机械
000812,2003-01-01,轻工制造
000812,2018-02-27,综合
000812,2019-07-22,轻工制造
000813,2003-01-01,纺织服装
000813,2015-05-01,有色金属
000813,2018-02-27,医药
000815,2003-01-01,轻工制造
000816,2003-01-01,机械
000817,2003-01-01,石油石化
000818,2003-01-01,基础化工
000819,2003-01-01,石油石化
000820,2003-01-01,轻工制造
000820,2017-07-10,电力及公用事业
000821,2003-01-01,机械
000821,2011-05-05,机械
000822,2003-01-01,基础化工
000823,2003-01-01,电子元器件
000825,2003-01-01,钢铁
000826,2003-01-01,电力及公用事业
000826,2005-11-01,电力及公用事业
000828,2003-01-01,电子元器件
000828,2004-05-01,交通运输
000829,2003-01-01,商贸零售
000829,2013-05-03,通信
000829,2019-07-22,商贸零售
000830,2003-01-01,基础化工
000831,2003-01-01,有色金属
000831,2014-05-05,有色金属
000833,2003-01-01,轻工制造
000833,2010-05-01,农林牧渔
000833,2012-05-02,轻工制造
000835,2003-01-01,通信
000835,2005-05-01,煤炭
000835,2015-04-01,传媒
000836,2003-01-01,通信
000836,2006-05-01,房地产
000836,2011-05-05,通信
000837,2003-01-01,机械
000838,2003-01-01,基础化工
000838,2008-05-01,房地产
000839,2003-01-01,房地产
000839,2004-11-01,通信
000839,2008-11-01,综合
000848,2003-01-01,食品饮料
000850,2003-01-01,纺织服装
000851,2003-01-01,商贸零售
000851,2018-02-27,通信
000852,2003-01-01,机械
000856,2003-01-01,建材
000856,2013-05-03,机械
000858,2003-01-01,食品饮料
000859,2003-01-01,基础化工
000860,2003-01-01,农林牧渔
000860,2015-05-01,食品饮料
000861,2003-01-01,基础化工
000861,2008-11-01,房地产
000861,2012-05-02,商贸零售
000862,2003-01-01,电力设备
000863,2003-01-01,综合
000863,2015-08-06,餐饮旅游
000863,2018-02-27,房地产
000866,2003-01-01,石油石化
000868,2003-01-01,汽车
000869,2003-01-01,食品饮料
000875,2003-01-01,电力及公用事业
000876,2003-01-01,农林牧渔
000877,2003-01-01,建材
000878,2003-01-01,有色金属
000880,2003-01-01,机械
000881,2004-11-01,房地产
000881,2007-05-01,商贸零售
000881,2010-05-01,综合
000882,2003-01-01,商贸零售
000883,2003-01-01,电力及公用事业
000883,2012-05-02,电力及公用事业
000885,2003-01-01,食品饮料
000885,2007-05-01,建材
000886,2003-01-01,房地产
000886,2007-05-01,交通运输
000887,2003-01-01,汽车
000888,2003-01-01,餐饮旅游
000889,2003-01-01,房地产
